id,Usage,prediction_list
000001.jpg,Private,"[['dog', 1.0, 48, 240, 195, 371], ['person', 1.0, 8, 12, 352, 498]]"
000003.jpg,Private,"[['sofa', 1.0, 123, 155, 215, 195], ['chair', 1.0, 239, 156, 307, 205]]"
000004.jpg,Private,"[['car', 1.0, 13, 311, 84, 362], ['car', 1.0, 362, 330, 500, 389], ['car', 1.0, 235, 328, 334, 375], ['car', 1.0, 175, 327, 252, 364], ['car', 1.0, 139, 320, 189, 359], ['car', 1.0, 108, 325, 150, 353], ['car', 1.0, 84, 323, 121, 350]]"
000006.jpg,Private,"[['pottedplant', 1.0, 187, 135, 282, 242], ['diningtable', 1.0, 154, 209, 369, 375], ['chair', 1.0, 255, 207, 366, 375], ['chair', 1.0, 298, 195, 332, 247], ['chair', 1.0, 279, 190, 308, 231], ['chair', 1.0, 137, 192, 151, 199], ['chair', 1.0, 137, 198, 156, 212], ['chair', 1.0, 138, 211, 249, 375]]"
000007.jpg,Public,"[['car', 1.0, 141, 50, 500, 330]]"
000008.jpg,Public,"[['chair', 1.0, 192, 16, 364, 249]]"
000009.jpg,Public,"[['horse', 1.0, 69, 172, 270, 330], ['person', 1.0, 150, 141, 229, 284], ['person', 1.0, 285, 201, 327, 331], ['person', 1.0, 258, 198, 297, 329]]"
000013.jpg,Private,"[['cow', 1.0, 299, 160, 446, 252]]"
000014.jpg,Private,"[['bus', 1.0, 72, 163, 302, 228], ['car', 1.0, 185, 194, 500, 316], ['car', 1.0, 416, 180, 500, 222], ['person', 1.0, 314, 8, 344, 65], ['person', 1.0, 331, 4, 361, 61], ['person', 1.0, 357, 8, 401, 61], ['car', 1.0, 163, 197, 267, 244]]"
000015.jpg,Private,"[['bicycle', 1.0, 77, 136, 360, 358]]"
000016.jpg,Private,"[['bicycle', 1.0, 92, 72, 305, 473]]"
000018.jpg,Private,"[['dog', 1.0, 31, 30, 358, 279]]"
000020.jpg,Public,"[['car', 1.0, 33, 148, 371, 416]]"
000021.jpg,Public,"[['dog', 1.0, 1, 235, 182, 388], ['person', 1.0, 210, 36, 336, 482], ['person', 1.0, 46, 82, 170, 365], ['person', 1.0, 11, 181, 142, 419]]"
000025.jpg,Private,"[['cow', 1.0, 2, 84, 59, 248], ['cow', 1.0, 68, 115, 233, 279], ['cow', 1.0, 64, 173, 377, 373], ['person', 1.0, 320, 2, 496, 375], ['person', 1.0, 221, 4, 341, 374], ['person', 1.0, 135, 14, 220, 148], ['cow', 1.0, 69, 43, 156, 177], ['person', 1.0, 58, 54, 104, 139], ['person', 1.0, 279, 1, 331, 86], ['person', 1.0, 320, 22, 344, 96], ['person', 1.0, 337, 1, 390, 107]]"
000027.jpg,Private,"[['person', 1.0, 174, 101, 349, 351]]"
000029.jpg,Private,"[['dog', 1.0, 56, 63, 284, 290]]"
000030.jpg,Private,"[['bicycle', 1.0, 36, 205, 180, 289], ['person', 1.0, 51, 160, 150, 292], ['person', 1.0, 295, 138, 450, 290]]"
000031.jpg,Private,"[['train', 1.0, 41, 77, 430, 255]]"
000037.jpg,Private,"[['dog', 1.0, 61, 96, 464, 339]]"
000038.jpg,Private,"[['bicycle', 1.0, 159, 178, 279, 246], ['motorbike', 1.0, 1, 235, 43, 315], ['person', 1.0, 192, 111, 261, 240]]"
000039.jpg,Public,"[['tvmonitor', 1.0, 156, 89, 344, 279]]"
000041.jpg,Private,"[['tvmonitor', 1.0, 363, 47, 432, 107], ['person', 1.0, 216, 92, 307, 302], ['person', 1.0, 164, 148, 227, 244]]"
000043.jpg,Public,"[['person', 1.0, 174, 229, 324, 375], ['person', 1.0, 5, 145, 250, 500], ['person', 1.0, 19, 6, 323, 500]]"
000045.jpg,Public,"[['tvmonitor', 1.0, 280, 64, 483, 252]]"
000046.jpg,Private,"[['bird', 1.0, 211, 234, 317, 366]]"
000050.jpg,Public,"[['chair', 1.0, 405, 153, 493, 255], ['chair', 1.0, 275, 129, 312, 170], ['bottle', 1.0, 360, 192, 381, 265], ['bottle', 1.0, 399, 181, 422, 235], ['bottle', 1.0, 270, 180, 291, 247], ['bottle', 1.0, 294, 176, 312, 241], ['person', 1.0, 68, 96, 293, 375], ['person', 1.0, 1, 71, 87, 332], ['person', 1.0, 185, 68, 259, 197], ['person', 1.0, 286, 64, 406, 238]]"
000051.jpg,Private,"[['motorbike', 1.0, 352, 138, 500, 375], ['motorbike', 1.0, 105, 1, 427, 245], ['person', 1.0, 415, 61, 465, 195]]"
000052.jpg,Private,"[['pottedplant', 1.0, 414, 232, 458, 263], ['pottedplant', 1.0, 291, 237, 333, 270], ['pottedplant', 1.0, 183, 238, 227, 273], ['pottedplant', 1.0, 52, 244, 99, 274], ['pottedplant', 1.0, 62, 96, 107, 132], ['pottedplant', 1.0, 184, 94, 225, 128]]"
000053.jpg,Public,"[['cat', 1.0, 36, 12, 425, 262]]"
000055.jpg,Private,"[['motorbike', 1.0, 209, 132, 275, 222], ['person', 1.0, 219, 107, 273, 187], ['person', 1.0, 465, 273, 483, 324], ['person', 1.0, 436, 279, 456, 327]]"
000057.jpg,Public,"[['bird', 1.0, 133, 53, 385, 358]]"
000058.jpg,Public,"[['person', 1.0, 334, 1, 436, 373], ['person', 1.0, 196, 80, 309, 326], ['person', 1.0, 279, 53, 334, 267], ['motorbike', 1.0, 29, 109, 359, 375]]"
000059.jpg,Public,"[['tvmonitor', 1.0, 88, 161, 142, 206], ['tvmonitor', 1.0, 177, 135, 273, 200], ['person', 1.0, 110, 210, 328, 500], ['person', 1.0, 72, 272, 115, 356], ['person', 1.0, 125, 274, 171, 353], ['chair', 1.0, 285, 397, 349, 500]]"
000063.jpg,Public,"[['dog', 1.0, 123, 115, 379, 275], ['chair', 1.0, 75, 1, 428, 375]]"
000065.jpg,Private,"[['dog', 1.0, 2, 104, 398, 334]]"
000068.jpg,Private,"[['bird', 1.0, 27, 45, 266, 375]]"
000070.jpg,Public,"[['pottedplant', 1.0, 358, 163, 378, 197], ['pottedplant', 1.0, 313, 156, 358, 198]]"
000071.jpg,Private,"[['car', 1.0, 61, 75, 443, 274]]"
000072.jpg,Public,"[['motorbike', 1.0, 40, 71, 333, 473], ['motorbike', 1.0, 33, 42, 331, 136]]"
000075.jpg,Public,"[['dog', 1.0, 102, 83, 222, 348]]"
000076.jpg,Private,"[['person', 1.0, 63, 78, 265, 375], ['person', 1.0, 257, 75, 448, 375], ['person', 1.0, 362, 130, 446, 261], ['person', 1.0, 472, 157, 500, 343], ['person', 1.0, 457, 209, 478, 255], ['person', 1.0, 439, 170, 458, 216], ['person', 1.0, 247, 142, 288, 197], ['person', 1.0, 44, 162, 84, 286], ['person', 1.0, 77, 157, 120, 245], ['person', 1.0, 1, 159, 26, 283], ['person', 1.0, 24, 174, 45, 201]]"
000079.jpg,Private,"[['dog', 1.0, 1, 53, 390, 357]]"
000080.jpg,Private,"[['boat', 1.0, 440, 226, 455, 261], ['boat', 1.0, 398, 216, 421, 306], ['boat', 1.0, 307, 229, 320, 259], ['boat', 1.0, 246, 202, 269, 282], ['boat', 1.0, 187, 223, 209, 287], ['boat', 1.0, 186, 202, 210, 263], ['boat', 1.0, 70, 243, 111, 274], ['boat', 1.0, 1, 276, 38, 300], ['boat', 1.0, 12, 240, 33, 258]]"
